,Date,cn,de,fi,gb,ru,se
431,2019-08-07,Observance,,,,,
432,2019-08-08,,Local holiday,,,,
433,2019-08-11,,,,Hebrew,,
434,2019-08-12,,,,Muslim,Muslim,
435,2019-08-15,Observance,Christian,,19.0,,
436,2019-08-23,,,,Hinduism,,
437,2019-08-26,,,,Common local holiday,,
438,2019-09-01,,Observance,,Muslim,Christian,
439,2019-09-02,,,,Hinduism,,
440,2019-09-08,,Season,,,,
441,2019-09-10,Observance,,,Muslim,,
442,2019-09-13,National holiday,,,,,
443,2019-09-14,,Observance,,,,
444,2019-09-20,,Observance,,,,
445,2019-09-23T08:50:13+01:00,,,,Season,,
446,2019-09-23T09:50:13+02:00,,Season,,,,Season
447,2019-09-23T10:50:13+03:00,,,Season,,Season,
448,2019-09-23T15:50:13+08:00,Season,,,,,
449,2019-09-28,,Observance,,,,
450,2019-09-29,,,,Hinduism,,
451,2019-09-30,,,,Hebrew,,
452,2019-10-01,National holiday,,,,,
453,2019-10-02,National holiday,,,,,
454,2019-10-03,National holiday,National holiday,,,,
455,2019-10-04,Common local holiday,,,Christian,,
456,2019-10-05,Common local holiday,,,,,
457,2019-10-06,Common local holiday,Observance,,,,
458,2019-10-07,Weekend,,,Hinduism,,
459,2019-10-09,,,,Hebrew,,
460,2019-10-14,,,,Hebrew,,
461,2019-10-20,,,,Hebrew,,
462,2019-10-21,,,,Hebrew,,
463,2019-10-22,,,,Hebrew,,
464,2019-10-24,,Observance,,,,
465,2019-10-27,,,,Observance,,
466,2019-10-27T02:00:00+01:00,,,,Clock change/Daylight Saving Time,,
467,2019-10-27T03:00:00+02:00,,Clock change/Daylight Saving Time,,,,Clock change/Daylight Saving Time
468,2019-10-30,,Observance,,,,
469,2019-10-31,,Weekend,,Observance,,
470,2019-11-01,,Christian,,Christian,,Observance
471,2019-11-02,,,National holiday,Christian,,National holiday
472,2019-11-04,,,,,National holiday,
473,2019-11-05,,,,Observance,,
474,2019-11-08,Observance,,,,,
475,2019-11-09,,Season,,,,
476,2019-11-10,,,Observance,Christian,Muslim,Observance
477,2019-11-11,,Observance,,,,
478,2019-11-17,,Observance,,,,
479,2019-11-20,,Christian,,,,
480,2019-11-24,,Observance,,,,
481,2019-11-30,,,,Local holiday,,
482,2019-12-01,,Observance,,Observance,,Observance
483,2019-12-02,,,,Local holiday,,
484,2019-12-06,,Observance,National holiday,,,
485,2019-12-08,,Observance,,Christian,,Observance
486,2019-12-15,,Observance,,,,Observance
487,2019-12-19,,Observance,,,,
488,2019-12-22,,Observance,,,,Observance
489,2019-12-22T04:19:26+00:00,,,,Season,,
490,2019-12-22T05:19:26+01:00,,Season,,,,Season
491,2019-12-22T06:19:26+02:00,,,Season,,,
492,2019-12-22T07:19:26+03:00,,,,,Season,
493,2019-12-22T12:19:26+08:00,Season,,,,,
494,2019-12-23,,,,Hebrew,,
495,2019-12-24,,Observance,Observance,Observance,,Observance
496,2019-12-25,Observance,National holiday,National holiday,National holiday,,National holiday
497,2019-12-26,,National holiday,National holiday,National holiday,,National holiday
498,2019-12-30,,,,Hebrew,,
499,2019-12-31,,Observance,,Observance,,Observance
